district,course_number,course_name,takers_FRPL,takers_nonFRPL,takers_F,takers_M,takers_NW,takers_W,enrolled,frac_girls,frac_nonwhite,frac_FRPL
ALACHUA,2000010,M/J LIF SCI,21,9,21,9,22,8,30,0.7,0.7333,0.7
ALACHUA,2000020,M/J LIF SCI ADV,0,0,0,0,0,0,0,0,0,0
ALACHUA,2000310,BIO 1,593,424,432,585,695,322,1017,0.4248,0.6834,0.5831
ALACHUA,2000320,BIO 1 HON,228,512,404,336,319,421,740,0.5459,0.4311,0.3081
ALACHUA,2000322,PRE-AICE BIO IG,7,115,74,48,46,76,122,0.6066,0.377,0.0574
ALACHUA,2000323,AICE BIO 2 AL,0,42,31,11,13,29,42,0.7381,0.3095,0
ALACHUA,2000340,AP BIO,8,134,86,56,44,98,142,0.6056,0.3099,0.0563
ALACHUA,2000350,ANAT PHYSIO,159,148,145,162,218,89,307,0.4723,0.7101,0.5179
ALACHUA,2000360,ANAT PHYSIO HON,102,275,240,137,162,215,377,0.6366,0.4297,0.2706
ALACHUA,2000800,FL PRE-IB BIO 1,16,110,64,62,81,45,126,0.5079,0.6429,0.127
ALACHUA,2000805,IB BIOLOGY 1,1,39,28,12,27,13,40,0.7,0.675,0.025
ALACHUA,2000810,IB BIOLOGY 2,0,0,0,0,0,0,0,0,0,0
ALACHUA,2000820,IB BIOLOGY 3,4,40,29,15,21,23,44,0.6591,0.4773,0.0909
ALACHUA,2001010,M/J ERTH/SPA SCI,44,16,28,32,56,4,60,0.4667,0.9333,0.7333
ALACHUA,2001020,M/J ERTH/SPA SCI ADV,4,7,5,6,3,8,11,0.4545,0.2727,0.3636
ALACHUA,2001310,ERTH/SPA SCI,140,100,98,142,165,75,240,0.4083,0.6875,0.5833
ALACHUA,2001320,ERTH/SPA SCI HON,0,0,0,0,0,0,0,0,0,0
ALACHUA,2001340,ENV SCI,610,358,439,529,704,264,968,0.4535,0.7273,0.6302
ALACHUA,2001341,ENV SCI HON,146,338,227,257,198,286,484,0.469,0.4091,0.3017
ALACHUA,2001375,IB ENV SYS & SOC 2,5,32,24,13,15,22,37,0.6486,0.4054,0.1351
ALACHUA,2001380,AP ENV SCI,43,212,142,113,88,167,255,0.5569,0.3451,0.1686
ALACHUA,2001381,AICE ENV MGMNT AS,4,47,32,19,12,39,51,0.6275,0.2353,0.0784
ALACHUA,2002040,M/J COMPRE SCI 1,793,506,618,681,899,400,1299,0.4758,0.6921,0.6105
ALACHUA,2002050,M/J COMPRE SCI 1 ADV,210,665,455,420,394,481,875,0.52,0.4503,0.24
ALACHUA,2002070,M/J COMPRE SCI 2,725,486,515,696,797,414,1211,0.4253,0.6581,0.5987
ALACHUA,2002080,M/J COMPRE SCI 2 ADV,243,629,483,389,379,493,872,0.5539,0.4346,0.2787
ALACHUA,2002100,M/J COMPRE SCI 3,143,150,140,153,171,122,293,0.4778,0.5836,0.4881
ALACHUA,2002110,M/J COMPRE SCI 3 ADV,79,179,134,124,99,159,258,0.5194,0.3837,0.3062
ALACHUA,2002400,INTEG SCI 1,15,9,2,22,23,1,24,0.0833,0.9583,0.625
ALACHUA,2002420,INTEG SCI 2,0,0,0,0,0,0,0,0,0,0
ALACHUA,2002440,INTEG SCI 3,4,8,5,7,10,2,12,0.4167,0.8333,0.3333
ALACHUA,2002480,FORC SCI 1,90,57,65,82,108,39,147,0.4422,0.7347,0.6122
ALACHUA,2002500,MARINE SCI 1,34,52,47,39,35,51,86,0.5465,0.407,0.3953
ALACHUA,2002510,MARINE SCI 1 HON,0,0,0,0,0,0,0,0,0,0
ALACHUA,2002515,AICE MARINE SCI 1 AS,2,52,31,23,12,42,54,0.5741,0.2222,0.037
ALACHUA,2003010,M/J PHY SCI,530,332,408,454,621,241,862,0.4733,0.7204,0.6148
ALACHUA,2003020,M/J PHY SCI ADV,170,506,369,307,290,386,676,0.5459,0.429,0.2515
ALACHUA,2003310,PHY SCI,34,25,37,22,44,15,59,0.6271,0.7458,0.5763
